Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
1467000,2026.0,0.0,Automatic,Gas,Seat Leon,Unknown,Seat,Leon
260000,2016.0,196000.0,Manual,Gas,Lada Granta,Cairo,Lada,Granta
1280000,2026.0,0.0,Automatic,Gas,Seat Arona,Unknown,Seat,Arona
620000,2022.0,235000.0,Manual,Natural Gas,DFSK Glory Van,Alexandria,DFSK,Glory Van
275000,1999.0,176000.0,Manual,Diesel,Mitsubishi Lancer Crystala,Alexandria,Mitsubishi,Lancer Crystala
335,2012.0,342000.0,Manual,Gas,Hyundai Verna,Giza,Hyundai,Verna
390000,2015.0,277000.0,Automatic,Gas,Chevrolet Aveo,Cairo,Chevrolet,Aveo
750000,2019.0,177000.0,Automatic,Natural Gas,Peugeot 508,Cairo,Peugeot,508
200000,2008.0,230000.0,Manual,Gas,Daewoo Lanos 2,Asyut,Daewoo Lanos,2
850000,2022.0,45000.0,Automatic,Natural Gas,Toyota Belta,Cairo,Toyota,Belta
325000,2006.0,148000.0,Automatic,Gas,Renault Megane,Ismailia,Renault,Megane
420000,2006.0,145.0,Automatic,Gas,Chrysler Town & Country,Cairo,Chrysler,Town & Country
600000,2018.0,270000.0,Automatic,Gas,Nissan Sentra,Cairo,Nissan,Sentra
1200000,2020.0,100000.0,Automatic,Gas,Renault Kadjar,Kafr el-Sheikh,Renault,Kadjar
285000,2013.0,177000.0,Automatic,Diesel,Renault Logan,Cairo,Renault,Logan
440000,2007.0,178.0,Automatic,Gas,Mitsubishi Lancer Puma,Cairo,Mitsubishi,Lancer Puma
650000,2022.0,99000.0,Automatic,Gas,Chevrolet Optra,Cairo,Chevrolet,Optra
900000,2011.0,0.0,Manual,Electric,Jeep Cherokee,Unknown,Jeep,Cherokee
590000,2019.0,75000.0,Automatic,Gas,Geely X7,Alexandria,Geely,X7
485000,2022.0,87000.0,Manual,Gas,Suzuki Swift Dzire,Cairo,Suzuki,Swift Dzire
795000,2022.0,89000.0,Automatic,Diesel,MG ZS,Beni Suef,MG,ZS
570,2012.0,235.0,Automatic,Gas,Hyundai Elantra MD,Cairo,Hyundai,Elantra MD
100000,2026.0,0.0,Automatic,Natural Gas,Abarth 695,Unknown,Abarth,695
320000,2017.0,365000.0,Manual,Gas,Geely Emgrand 7,Cairo,Geely,Emgrand 7
740000,2022.0,90000.0,Automatic,Gas,Chery Tiggo 7,Cairo,Chery,Tiggo 7
400000,2021.0,0.0,Automatic,Diesel,Chery Arrizo 5,Monufia,Chery,Arrizo 5
265000,2012.0,178000.0,Manual,Gas,Fiat Punto,Suez,Fiat,Punto
1110000,2020.0,110000.0,Automatic,Gas,Citroën C5 Aircross,Giza,Citroën,C5 Aircross
265000,2011.0,158000.0,Manual,Gas,Peugeot 206,Cairo,Peugeot,206
300000,2012.0,157500.0,Manual,Gas,Renault Logan,Cairo,Renault,Logan
1700000,2026.0,0.0,Automatic,Gas,Geely Starray,Unknown,Geely,Starray
2750000,2019.0,220000.0,Automatic,Natural Gas,BMW X3 M,Cairo,BMW,X3 M
724000,2026.0,0.0,Automatic,Gas,Renault Taliant,Unknown,Renault,Taliant
1150000,2020.0,65000.0,Automatic,Gas,Citroën C5 Aircross,Alexandria,Citroën,C5 Aircross
777000,2017.0,160000.0,Automatic,Gas,Opel Insignia,Cairo,Opel,Insignia
765000,2017.0,150000.0,Automatic,Gas,Hyundai Creta,Giza,Hyundai,Creta
2600000,2021.0,99000.0,Automatic,Gas,Mercedes GLC 200,Cairo,Mercedes,GLC 200
2600000,2019.0,125000.0,Automatic,Gas,Mercedes E 180,Giza,Mercedes,E 180
1100000,2020.0,110000.0,Automatic,Gas,Mitsubishi Eclipse,Red Sea,Mitsubishi,Eclipse
1060000,2022.0,68000.0,Automatic,Gas,Kia Xceed,Cairo,Kia,Xceed
1600000,2025.0,48000.0,Automatic,Gas,Cupra Leon,Cairo,Cupra,Leon
780000,2023.0,102000.0,Automatic,Gas,Hyundai Elantra,Giza,Hyundai,Elantra
570000,2008.0,200000.0,Automatic,Gas,Volkswagen Jetta,Red Sea,Volkswagen,Jetta
550000,2022.0,52000.0,Automatic,Gas,Changan Eado,Red Sea,Changan,Eado
750000,2015.0,350000.0,Automatic,Gas,Honda Civic,Cairo,Honda,Civic
415000,2010.0,240000.0,Automatic,Gas,Seat Ibiza,Cairo,Seat,Ibiza
255000,2000.0,160000.0,Manual,Plug-in Hybrid,Daihatsu Terios,Cairo,Daihatsu,Terios
720000,2023.0,27500.0,Automatic,Gas,Chery Tiggo 3,Alexandria,Chery,Tiggo 3
1150000,2010.0,280000.0,Automatic,Gas,Mercedes GLK 300,Cairo,Mercedes,GLK 300
960000,2025.0,47000.0,Automatic,Gas,Chery Tiggo 8,Cairo,Chery,Tiggo 8
650000,2016.0,70000.0,Automatic,Natural Gas,Suzuki Ertiga,Giza,Suzuki,Ertiga
1220000,2017.0,100000.0,Automatic,Gas,Kia Sportage,Cairo,Kia,Sportage
875000,2020.0,148000.0,Automatic,Gas,MG Rx5,Cairo,MG,Rx5
980000,2022.0,99000.0,Automatic,Gas,MG HS,Red Sea,MG,HS
870000,2018.0,119000.0,Automatic,Gas,Opel Insignia,Cairo,Opel,Insignia
650000,2023.0,58000.0,Automatic,Gas,Renault Sandero Step Way,Giza,Renault,Sandero Step Way
440000,2014.0,160000.0,Automatic,Gas,Nissan Sunny,Cairo,Nissan,Sunny
300000,2018.0,112000.0,Automatic,Gas,Renault Logan,Asyut,Renault,Logan
150000,1995.0,275000.0,Manual,Gas,Opel Vectra,Qalyubia,Opel,Vectra
1250000,2013.0,165000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
1350000,2011.0,300000.0,Automatic,Gas,Mercedes E 250,Cairo,Mercedes,E 250
1550000,2025.0,0.0,Automatic,Electric,Deepal S 05,Unknown,Deepal,S 05
230000,2004.0,180000.0,Manual,Gas,Citroën C3,Damietta,Citroën,C3
2000000,2019.0,127000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
665000,2015.0,65000.0,Automatic,Gas,Hyundai Elantra,Giza,Hyundai,Elantra
1620000,2025.0,0.0,Automatic,Gas,Seat Ateca,Unknown,Seat,Ateca
1250000,2021.0,89000.0,Automatic,Gas,Subaru XV,Giza,Subaru,XV
1350000,2024.0,70000.0,Automatic,Gas,Skoda Octavia A8,Giza,Skoda,Octavia A8
3100000,2022.0,20000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
126000,2007.0,173500.0,Manual,Gas,Fiat Uno,Cairo,Fiat,Uno
2050000,2023.0,64000.0,Automatic,Gas,Skoda Kodiaq,Cairo,Skoda,Kodiaq
150000,1999.0,180.0,Manual,Gas,Hyundai Accent,Cairo,Hyundai,Accent
800000,2022.0,89000.0,Automatic,Gas,Hyundai Bayon,Cairo,Hyundai,Bayon
1740000,2025.0,8200.0,Automatic,Gas,Hyundai Elantra,Giza,Hyundai,Elantra
600000,2017.0,160000.0,Automatic,Gas,Opel Astra,Cairo,Opel,Astra
1455000,2026.0,0.0,Automatic,Gas,Seat Leon,Unknown,Seat,Leon
290000,2011.0,120000.0,Manual,Gas,Peugeot 206,Cairo,Peugeot,206
980000,2026.0,0.0,Automatic,Gas,Seat Ibiza,Unknown,Seat,Ibiza
720000,2016.0,0.0,Automatic,Natural Gas,Kia Cerato,Cairo,Kia,Cerato
850000,2016.0,68000.0,Automatic,Natural Gas,Hyundai IX 35,Alexandria,Hyundai,IX 35
135000,1999.0,0.0,Manual,Gas,Kia Pride,Asyut,Kia,Pride
640000,2020.0,176.0,Automatic,Gas,Nissan Sentra,Cairo,Nissan,Sentra
410000,2008.0,210000.0,Automatic,Gas,Daihatsu SIRION,Damietta,Daihatsu,SIRION
1200000,2026.0,0.0,Automatic,Diesel,Geely Cool Ray,Unknown,Geely,Cool Ray
